Год,Категория,Зарплата,Кумулятивный_ИПЦ,Реальная зарплата,Базовая зарплата
2018,Металлургическое производство и производство готовых металлических изделий,44206.5,6.344461803460852,6967.730497784022,44557.855505
2018,Производство машин и оборудования,40036.0,6.344461803460852,6310.38553627365,10426.135940412829
2018,"Производство электрооборудования, электронного и оптического оборудования",46242.0,6.344461803460852,7288.561493864675,10575.510540278006
2018,Производство транспортных средств и оборудования,45024.0,6.344461803460852,7096.583034898212,12953.364152972776
2018,Прочие производства,34531.333333333336,6.344461803460852,5442.752183407704,10837.311959122979
2018,"Производство и распределение электроэнергии, газа и воды",39534.0,6.344461803460852,6231.261409507505,16660.810052099983
2018,Строительство,38518.0,6.344461803460852,6071.121742586383,13933.53599731777
2018,"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",35444.0,6.344461803460852,5586.604679480549,8363.394116126223
2018,Гостиницы и рестораны,26241.0,6.344461803460852,4136.048228028695,8656.337236003159
2018,Транспорт и связь,57032.0,6.344461803460852,8989.257365989579,16997.034858156934
2018,Из них связь,,6.344461803460852,,15197.150103597742
2018,Финансовая деятельность,91070.0,6.344461803460852,14354.251443411962,27616.882735497395
2018,"Операции с недвижимым имуществом, аренда и предоставление услуг",33101.0,6.344461803460852,5217.306215311072,12967.087614444488
2018,Государственное управление и обеспечение военной безопасности; социальное страхование,47803.0,6.344461803460852,7534.602852195257,14315.153791319615
2018,Образование,34361.0,6.344461803460852,5415.9046211384475,6546.09112200678
2018,Здравоохранение и предоставление социальных услуг,40027.0,6.344461803460852,6308.966976232026,7037.496607782325
2018,"Предоставление прочих коммунальных, социальных и персональных услуг",44439.0,6.344461803460852,7004.376632192645,8170.7378300810315
2018,"Производство лекарственных средств и материалов, применяемых в медицинских целях",57644.0,6.344461803460852,9085.719448820018,56578.466049999995
2018,"Деятельность профессиональная,научная и техническая",66264.0,6.344461803460852,10444.38473313111,59620.33476
2018,Деятельность административная и сопутствующие дополнительные услуги,31706.0,6.344461803460852,4997.429408859335,28800.93805
2019,"Сельское хозяйство, охота и лесное хозяйство",31911.0,6.537967888466408,4880.874385494309,5358.1964783097
2019,"Рыболовство, рыбоводство",88603.8,6.537967888466408,13552.192594323607,15477.904678386032
2019,Добыча топливно-энергетических полезных ископаемых,99358.25,6.537967888466408,15197.115020292058,84425.42256837749
2019,"Добыча полезных ископаемых, кроме топливно-энергетических",78519.9,6.537967888466408,12009.83261764202,32310.18040854256
2019,Обрабатывающие производства,43855.0,6.537967888466408,6707.741724667133,12864.893219468177
2019,"Производство пищевых продуктов, включая напитки, и табака",60820.26666666666,6.537967888466408,9302.62547999958,58245.79960366499
2019,Текстильное и швейное производство,23765.550000000003,6.537967888466408,3635.0056172537456,6607.590175465052
2019,"Производство кожи, изделий из кожи и производство обуви",25680.3,6.537967888466408,3927.8718461285916,21697.42595355
2019,Обработка древесины и производство изделий из дерева,29398.9,6.537967888466408,4496.641846752174,9459.384321823569
2019,Целлюлозно-бумажное производство; издательская и полиграфическая деятельность,40901.9,6.537967888466408,6256.057034503765,14885.027390663205
2019,Производство кокса и нефтепродуктов,81685.2,6.537967888466408,12493.973875904223,26740.941372768222
2019,Химическое производство,54331.6,6.537967888466408,8310.166236185722,14982.933731755049
2019,Производство резиновых и пластмассовых изделий,35623.4,6.537967888466408,5448.696079227161,32903.196061229995
2019,Производство прочих неметаллических минеральных продуктов,37986.6,6.537967888466408,5810.1539573193595,11868.424236800085
2019,Металлургическое производство и производство готовых металлических изделий,47477.8,6.537967888466408,7261.858854301704,45916.8700979025
2019,Производство машин и оборудования,44128.1,6.537967888466408,6749.5131136765185,10744.13308659542
2019,"Производство электрооборудования, электронного и оптического оборудования",48820.9,6.537967888466408,7467.28965832406,10898.063611756485
2019,Производство транспортных средств и оборудования,48518.850000000006,6.537967888466408,7421.090287945866,13348.441759638446
2019,Прочие производства,37268.6,6.537967888466408,5700.333901263927,11167.84997387623
2019,"Производство и распределение электроэнергии, газа и воды",42449.7,6.537967888466408,6492.797261192621,17168.96475868903
2019,Строительство,42629.9,6.537967888466408,6520.359342113497,14358.508845235961
2019,"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",40137.0,6.537967888466408,6139.063495678138,8618.477636668073
2019,Гостиницы и рестораны,28191.4,6.537967888466408,4311.951432146415,8920.355521701256
2019,Транспорт и связь,63529.2,6.537967888466408,9716.9642133103,17515.44442133072
2019,Из них связь,,6.537967888466408,,15660.663181757473
2019,Финансовая деятельность,103667.8,6.537967888466408,15856.272433347336,28459.19765893007
2019,"Операции с недвижимым имуществом, аренда и предоставление услуг",36859.4,6.537967888466408,5637.74564647579,13362.583786685045
2019,Государственное управление и обеспечение военной безопасности; социальное страхование,50990.5,6.537967888466408,7799.135888989613,14751.765981954863
2019,Образование,37071.9,6.537967888466408,5670.2481003919165,6745.746901227986
2019,Здравоохранение и предоставление социальных услуг,43122.1,6.537967888466408,6595.6426730194635,7252.1402543196855
2019,"Предоставление прочих коммунальных, социальных и персональных услуг",46990.4,6.537967888466408,7187.309696472431,8419.945333898502
2019,"Производство лекарственных средств и материалов, применяемых в медицинских целях",61588.9,6.537967888466408,9420.190042329305,58304.109264524996
2019,"Деятельность профессиональная,научная и техническая",75192.8,6.537967888466408,11500.943608586269,61438.75497018
2019,Деятельность административная и сопутствующие дополнительные услуги,34002.4,6.537967888466408,5200.759713118727,29679.366660525
2020,"Сельское хозяйство, охота и лесное хозяйство",34456.5,6.858982111790108,5023.558807767074,5621.283925394705
2020,"Рыболовство, рыбоводство",94983.0,6.858982111790108,13847.973132446417,16237.869798094784
2020,Добыча топливно-энергетических полезных ископаемых,102387.5,6.858982111790108,14927.506491670694,88570.7108164848
2020,"Добыча полезных ископаемых, кроме топливно-энергетических",88154.0,6.858982111790108,12852.34435128056,33896.610266601994
2020,Обрабатывающие производства,46510.0,6.858982111790108,6780.889531706546,13496.559476544062
2020,"Производство пищевых продуктов, включая напитки, и табака",65013.66666666666,6.858982111790108,9478.617323540288,61105.66836420493
2020,Текстильное и швейное производство,25514.0,6.858982111790108,3719.793926294578,6932.022853080385
2020,"Производство кожи, изделий из кожи и производство обуви",26913.0,6.858982111790108,3923.760050888374,22762.769567869298
2020,Обработка древесины и производство изделий из дерева,30864.0,6.858982111790108,4499.793044648265,9923.840092025104
2020,Целлюлозно-бумажное производство; издательская и полиграфическая деятельность,43991.5,6.858982111790108,6413.706769169394,15615.882235544766
2020,Производство кокса и нефтепродуктов,82106.0,6.858982111790108,11970.580861971568,28053.921594171137
2020,Химическое производство,57339.0,6.858982111790108,8359.695223791048,15718.59577798422
2020,Производство резиновых и пластмассовых изделий,39662.0,6.858982111790108,5782.490660213825,34518.742987836384
2020,Производство прочих неметаллических минеральных продуктов,40787.0,6.858982111790108,5946.509166409694,12451.163866826968
2020,Металлургическое производство и производство готовых металлических изделий,50481.0,6.858982111790108,7359.8384100210305,48171.3884197095
2020,Производство машин и оборудования,47499.0,6.858982111790108,6925.080022931181,11271.670021147254
2020,"Производство электрооборудования, электронного и оптического оборудования",51182.5,6.858982111790108,7462.1130607733885,11433.158535093728
2020,Производство транспортных средств и оборудования,50036.5,6.858982111790108,7295.032875795197,14003.850250036692
2020,Прочие производства,39800.0,6.858982111790108,5802.6102636405185,11716.191407593551
2020,"Производство и распределение электроэнергии, газа и воды",44752.0,6.858982111790108,6524.583279357801,18011.96092834066
2020,Строительство,44738.0,6.858982111790108,6522.542160169586,15063.511629537044
2020,"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",41867.0,6.858982111790108,6103.966932357728,9041.644888628474
2020,Гостиницы и рестораны,27411.0,6.858982111790108,3996.365576297745,9358.344977816787
2020,Транспорт и связь,69293.5,6.858982111790108,10102.592319185283,18375.452742418056
2020,Из них связь,,6.858982111790108,,16429.601743981762
2020,Финансовая деятельность,112680.0,6.858982111790108,16428.093580578232,29856.544263983527
2020,"Операции с недвижимым имуществом, аренда и предоставление услуг",37628.0,6.858982111790108,5485.945201011695,14018.686650611278
2020,Государственное управление и обеспечение военной безопасности; социальное страхование,54496.0,6.858982111790108,7945.202234355621,15476.077691668845
2020,Образование,39563.0,6.858982111790108,5768.057031668589,7076.9630740782795
2020,Здравоохранение и предоставление социальных услуг,49532.0,6.858982111790108,7221.479687905582,7608.220340806781
2020,"Предоставление прочих коммунальных, социальных и персональных услуг",48445.0,6.858982111790108,7063.00136236344,8833.364649792918
2020,"Производство лекарственных средств и материалов, применяемых в медицинских целях",71064.0,6.858982111790108,10360.720999380648,61166.84102941316
2020,"Деятельность профессиональная,научная и техническая",80077.0,6.858982111790108,11674.764373908085,64455.397839215824
2020,Деятельность административная и сопутствующие дополнительные услуги,37090.0,6.858982111790108,5407.507906493137,31136.62356355677
2021,"Сельское хозяйство, охота и лесное хозяйство",38806.0,7.4344507109692985,5219.753483971986,6092.909646735322
2021,"Рыболовство, рыбоводство",101547.4,7.4344507109692985,13659.031978000741,17600.22707415494
2021,Добыча топливно-энергетических полезных ископаемых,111580.85,7.4344507109692985,15008.62058784867,96001.79345398789
2021,"Добыча полезных ископаемых, кроме топливно-энергетических",96365.2,7.4344507109692985,12961.97980811362,36740.535867969906
2021,Обрабатывающие производства,52409.6,7.4344507109692985,7049.559145327479,14628.92081662611
2021,"Производство пищевых продуктов, включая напитки, и табака",66965.3,7.4344507109692985,9007.430757620708,66232.43393996173
2021,Текстильное и швейное производство,29084.35,7.4344507109692985,3912.104758067325,7513.61957045383
2021,"Производство кожи, изделий из кожи и производство обуви",31771.2,7.4344507109692985,4273.510072926113,24672.565934613536
2021,Обработка древесины и производство изделий из дерева,36313.8,7.4344507109692985,4884.530332068801,10756.450275746012
2021,Целлюлозно-бумажное производство; издательская и полиграфическая деятельность,50621.7,7.4344507109692985,6809.070631850349,16926.054755106976
2021,Производство кокса и нефтепродуктов,87214.4,7.4344507109692985,11731.115504110867,30407.6456159221
2021,Химическое производство,63701.8,7.4344507109692985,8568.460869074026,17037.385963757097
2021,Производство резиновых и пластмассовых изделий,44817.4,7.4344507109692985,6028.34045746962,37414.86552451586
2021,Производство прочих неметаллических минеральных продуктов,46264.6,7.4344507109692985,6223.001778966405,13495.816515253753
2021,Металлургическое производство и производство готовых металлических изделий,55828.5,7.4344507109692985,7509.4317213814875,52212.96790812313
